recency,frequency,monetary,cluster,Segment
64,1,600.39,1,Lost Customers
16,6,1098.6,1,Lost Customers
96,17,5231.8,0,Champions
1,10,2622.39,0,Champions
163,4,3340.03,3,New/Promising
78,2,1741.41,3,New/Promising
195,2,1345.21,3,New/Promising
22,3,1129.3,1,Lost Customers
26,9,7956.46,0,Champions
9,8,7485.91,0,Champions
43,1,256.4,1,Lost Customers
36,27,10857.97,0,Champions
43,5,5059.32,3,New/Promising
1,10,20581.26,0,Champions
85,3,1103.43,3,New/Promising
80,6,13925.93,3,New/Promising
100,1,509.01,2,At-Risk Loyalists
2,39,12683.4,0,Champions
14,2,2906.85,1,Lost Customers
683,2,1158.18,2,At-Risk Loyalists
462,2,859.2,2,At-Risk Loyalists
367,1,347.1,2,At-Risk Loyalists
3,1,172.06,1,Lost Customers
732,1,485.31,2,At-Risk Loyalists
21,5,5005.46,0,Champions
22,2,434.98,1,Lost Customers
58,1,1002.3100000000001,1,Lost Customers
243,1,476.49,2,At-Risk Loyalists
44,1,449.45,1,Lost Customers
22,6,4835.89,0,Champions
156,5,688.2,3,New/Promising
11,8,12669.88,0,Champions
17,2,430.57,1,Lost Customers
134,1,707.09,2,At-Risk Loyalists
56,5,16679.78,0,Champions
73,10,5879.95,0,Champions
44,3,3181.04,3,New/Promising
66,8,2995.91,3,New/Promising
71,4,1777.49,3,New/Promising
605,1,454.36,2,At-Risk Loyalists
456,1,326.65,2,At-Risk Loyalists
94,2,826.88,1,Lost Customers
19,2,1189.59,1,Lost Customers
53,4,1344.78,3,New/Promising
10,8,1212.05,1,Lost Customers
17,2,742.1899999999999,1,Lost Customers
682,1,56.73,2,At-Risk Loyalists
423,1,132.8,2,At-Risk Loyalists
188,5,3670.74,3,New/Promising
523,2,3070.54,3,New/Promising
690,1,211.95,2,At-Risk Loyalists
2,79,39963.79,0,Champions
32,19,17880.59,0,Champions
29,5,3938.5499999999997,3,New/Promising
17,31,12424.45,0,Champions
54,2,1149.64,1,Lost Customers
16,23,14115.41,0,Champions
23,9,20276.37,0,Champions
4,1,680.99,1,Lost Customers
11,1,527.2,1,Lost Customers
28,7,5464.85,0,Champions
23,15,12361.39,0,Champions
576,29,23691.4,0,Champions
17,19,5120.58,0,Champions
33,12,6370.15,0,Champions
529,1,708.1,2,At-Risk Loyalists
432,1,1037.28,2,At-Risk Loyalists
731,1,285.29999999999995,2,At-Risk Loyalists
10,3,1298.66,1,Lost Customers
336,1,334.93,2,At-Risk Loyalists
5,21,9823.64,0,Champions
39,1,460.40000000000003,1,Lost Customers
63,3,715.21,1,Lost Customers
166,2,433.74,2,At-Risk Loyalists
16,9,1872.8700000000001,0,Champions
641,1,357.4,2,At-Risk Loyalists
620,2,54.09,2,At-Risk Loyalists
82,3,6248.5,3,New/Promising
21,3,403.70000000000005,1,Lost Customers
560,1,393.72,2,At-Risk Loyalists
23,19,5955.21,0,Champions
337,1,2169.39,3,New/Promising
96,5,3723.87,3,New/Promising
584,1,1126.0,2,At-Risk Loyalists
18,4,779.05,1,Lost Customers
409,1,955.2,2,At-Risk Loyalists
233,1,73.5,2,At-Risk Loyalists
134,4,1844.06,3,New/Promising
26,2,398.27,1,Lost Customers
284,1,176.5,2,At-Risk Loyalists
143,9,5178.02,3,New/Promising
429,1,3084.02,3,New/Promising
66,2,138.03,2,At-Risk Loyalists
113,1,612.29,2,At-Risk Loyalists
267,2,1597.76,3,New/Promising
353,1,383.7,2,At-Risk Loyalists
78,4,2648.62,3,New/Promising
28,5,2502.84,1,Lost Customers
1,5,2056.89,1,Lost Customers
64,2,726.54,1,Lost Customers
79,5,2634.26,3,New/Promising
143,1,599.68,2,At-Risk Loyalists
39,2,192.72,1,Lost Customers
19,23,4372.15,0,Champions
9,17,11126.11,0,Champions
498,3,973.73,3,New/Promising
1,3,1316.66,1,Lost Customers
82,5,735.51,3,New/Promising
9,6,1933.48,1,Lost Customers
528,1,316.48,2,At-Risk Loyalists
60,9,3759.26,3,New/Promising
15,2,1933.2,1,Lost Customers
30,1,349.83000000000004,1,Lost Customers
628,2,1367.89,3,New/Promising
131,1,1089.18,2,At-Risk Loyalists
92,2,716.35,1,Lost Customers
43,3,12601.830000000002,3,New/Promising
409,1,732.94,2,At-Risk Loyalists
29,2,640.45,1,Lost Customers
22,7,11214.75,0,Champions
20,33,22254.49,0,Champions
30,3,981.18,1,Lost Customers
484,2,481.88,2,At-Risk Loyalists
448,1,980.25,2,At-Risk Loyalists
36,1,372.7,1,Lost Customers
75,2,1000.39,1,Lost Customers
47,2,1161.5,1,Lost Customers
198,3,383.58,2,At-Risk Loyalists
166,1,95.19999999999999,2,At-Risk Loyalists
576,6,1575.68,3,New/Promising
79,1,964.83,1,Lost Customers
358,1,168.0,2,At-Risk Loyalists
39,2,437.82,1,Lost Customers
8,12,4608.75,0,Champions
449,1,468.5,2,At-Risk Loyalists
682,1,129.23,2,At-Risk Loyalists
50,2,603.71,1,Lost Customers
16,8,18716.14,0,Champions
8,1,269.96,1,Lost Customers
311,2,561.71,2,At-Risk Loyalists
5,3,2134.01,1,Lost Customers
303,1,238.85,2,At-Risk Loyalists
8,9,4966.92,0,Champions
409,1,249.24,2,At-Risk Loyalists
261,1,456.9,2,At-Risk Loyalists
289,1,145.92,2,At-Risk Loyalists
86,1,351.65,2,At-Risk Loyalists
23,15,13709.86,0,Champions
645,1,70.0,2,At-Risk Loyalists
2,32,4124.69,0,Champions
682,1,77.52,2,At-Risk Loyalists
40,2,519.61,1,Lost Customers
9,2,1020.42,1,Lost Customers
227,5,717.41,3,New/Promising
316,1,218.45,2,At-Risk Loyalists
457,2,622.8199999999999,2,At-Risk Loyalists
36,8,2142.72,3,New/Promising
35,8,1653.75,3,New/Promising
21,4,4642.45,1,Lost Customers
78,1,440.42,2,At-Risk Loyalists
247,2,1052.9,3,New/Promising
40,1,197.71,1,Lost Customers
239,4,1980.4,3,New/Promising
3,27,14447.44,0,Champions
4,9,2338.15,0,Champions
234,2,2040.1,3,New/Promising
17,4,2062.67,1,Lost Customers
8,1,144.0,1,Lost Customers
39,4,958.78,1,Lost Customers
29,8,4695.66,0,Champions
211,2,9864.26,3,New/Promising
317,3,1352.15,3,New/Promising
92,5,2582.66,3,New/Promising
109,3,418.09999999999997,2,At-Risk Loyalists
38,15,5090.110000000001,0,Champions
505,1,299.02,2,At-Risk Loyalists
51,2,618.27,1,Lost Customers
19,4,3811.22,1,Lost Customers
10,11,4534.09,0,Champions
29,13,2296.72,0,Champions
29,21,5043.92,0,Champions
190,6,681.26,3,New/Promising
59,1,153.12,2,At-Risk Loyalists
22,1,739.1999999999999,1,Lost Customers
79,2,254.18,2,At-Risk Loyalists
376,4,1232.95,3,New/Promising
682,1,21.0,2,At-Risk Loyalists
60,1,1579.51,1,Lost Customers
405,1,415.79,2,At-Risk Loyalists
78,9,3435.86,3,New/Promising
23,5,2099.54,1,Lost Customers
52,1,1193.32,1,Lost Customers
74,1,704.0400000000001,1,Lost Customers
57,10,6835.07,0,Champions
278,1,315.6,2,At-Risk Loyalists
2,8,5740.98,0,Champions
95,3,1131.1,3,New/Promising
29,1,355.53,1,Lost Customers
22,1,177.31,1,Lost Customers
16,10,3781.38,0,Champions
15,3,1339.41,1,Lost Customers
2,35,24775.81,0,Champions
232,1,180.1,2,At-Risk Loyalists
276,7,3747.84,3,New/Promising
106,2,641.13,2,At-Risk Loyalists
212,4,5164.88,3,New/Promising
23,9,6620.48,0,Champions
11,7,4478.53,0,Champions
4,3,786.46,1,Lost Customers
386,2,1558.22,3,New/Promising
10,2,1270.88,1,Lost Customers
57,6,3481.57,3,New/Promising
521,2,804.88,2,At-Risk Loyalists
59,7,5678.16,3,New/Promising
536,2,490.0,2,At-Risk Loyalists
90,4,2930.41,3,New/Promising
739,1,141.0,2,At-Risk Loyalists
67,12,8340.31,0,Champions
33,2,921.49,1,Lost Customers
239,3,1312.37,3,New/Promising
24,3,1174.58,1,Lost Customers
115,1,185.9,2,At-Risk Loyalists
25,3,1013.26,1,Lost Customers
128,12,8350.42,0,Champions
130,4,1918.49,3,New/Promising
34,8,3539.3,0,Champions
5,2,1346.97,1,Lost Customers
22,36,17924.35,0,Champions
155,4,1112.0,3,New/Promising
107,8,2294.65,3,New/Promising
3,1,314.44,1,Lost Customers
335,4,377.75,2,At-Risk Loyalists
331,2,1017.03,2,At-Risk Loyalists
149,3,4160.83,3,New/Promising
11,5,601.98,1,Lost Customers
424,1,261.35,2,At-Risk Loyalists
17,8,6407.83,0,Champions
11,4,1643.18,1,Lost Customers
19,1,686.05,1,Lost Customers
30,1,91.68,1,Lost Customers
11,1,245.1,1,Lost Customers
436,1,162.0,2,At-Risk Loyalists
1,20,6988.02,0,Champions
625,2,239.4,2,At-Risk Loyalists
8,11,6070.04,0,Champions
325,3,313.6,2,At-Risk Loyalists
394,1,1248.42,2,At-Risk Loyalists
58,1,620.13,1,Lost Customers
12,10,11444.68,0,Champions
151,3,2744.0299999999997,3,New/Promising
10,7,3760.29,0,Champions
606,1,2622.481,3,New/Promising
330,2,437.05,2,At-Risk Loyalists
5,3,1230.02,1,Lost Customers
39,4,1970.6,3,New/Promising
554,2,958.5,2,At-Risk Loyalists
25,11,2843.09,0,Champions
555,2,395.1,2,At-Risk Loyalists
42,21,34281.18,0,Champions
59,4,1113.02,3,New/Promising
1,4,880.81,1,Lost Customers
15,45,30868.28,0,Champions
4,52,24033.91,0,Champions
4,21,12696.78,0,Champions
8,7,2283.63,0,Champions
28,6,2863.08,3,New/Promising
372,1,178.28,2,At-Risk Loyalists
481,2,2138.91,3,New/Promising
114,1,4873.8099999999995,3,New/Promising
26,2,1247.61,1,Lost Customers
206,1,389.01,2,At-Risk Loyalists
28,7,1170.4,1,Lost Customers
637,1,110.95,2,At-Risk Loyalists
127,7,1703.02,3,New/Promising
70,3,1843.35,3,New/Promising
7,7,1407.1200000000001,1,Lost Customers
435,2,851.91,2,At-Risk Loyalists
29,3,957.59,1,Lost Customers
590,1,339.75,2,At-Risk Loyalists
418,1,638.11,2,At-Risk Loyalists
8,4,4939.99,0,Champions
80,6,2446.41,3,New/Promising
20,1,219.0,1,Lost Customers
71,4,1006.53,3,New/Promising
7,8,2340.84,0,Champions
15,14,11762.1,0,Champions
292,1,603.42,2,At-Risk Loyalists
30,18,5314.1,0,Champions
15,34,31093.34,0,Champions
97,3,1149.02,3,New/Promising
612,2,1339.05,3,New/Promising
29,21,7193.66,0,Champions
1,1,848.55,1,Lost Customers
9,12,14093.71,0,Champions
106,1,353.86,2,At-Risk Loyalists
4,2,1053.49,1,Lost Customers
151,3,1308.91,3,New/Promising
71,1,238.25,2,At-Risk Loyalists
5,2,644.95,1,Lost Customers
3,30,8260.67,0,Champions
32,8,4013.08,0,Champions
85,4,997.63,3,New/Promising
4,5,725.07,1,Lost Customers
5,7,2317.52,0,Champions
371,4,2694.56,3,New/Promising
28,11,4014.6,0,Champions
11,10,5679.53,0,Champions
71,5,1070.17,3,New/Promising
114,1,453.01,2,At-Risk Loyalists
522,1,829.25,2,At-Risk Loyalists
24,17,25775.71,0,Champions
180,1,236.26000000000002,2,At-Risk Loyalists
234,4,2424.87,3,New/Promising
353,3,639.65,2,At-Risk Loyalists
315,2,779.5699999999999,2,At-Risk Loyalists
333,1,234.0,2,At-Risk Loyalists
499,2,3710.5,3,New/Promising
372,1,310.7,2,At-Risk Loyalists
78,4,2726.73,3,New/Promising
64,1,427.6,1,Lost Customers
529,2,406.07,2,At-Risk Loyalists
626,1,1201.52,2,At-Risk Loyalists
134,2,546.43,2,At-Risk Loyalists
52,11,25317.06,0,Champions
487,3,925.41,3,New/Promising
541,1,254.55,2,At-Risk Loyalists
2,26,9276.539999999999,0,Champions
1,337,56599.39,0,Champions
4,9,6897.36,0,Champions
129,1,275.88,2,At-Risk Loyalists
445,1,268.27,2,At-Risk Loyalists
81,1,4366.78,3,New/Promising
23,6,21429.39,0,Champions
236,3,3010.74,3,New/Promising
281,11,9030.66,3,New/Promising
87,1,112.07999999999998,2,At-Risk Loyalists
16,13,7857.1,0,Champions
117,7,9903.24,3,New/Promising
52,8,5020.74,0,Champions
456,1,347.8,2,At-Risk Loyalists
458,2,782.95,2,At-Risk Loyalists
8,2,1898.52,1,Lost Customers
138,2,814.16,3,New/Promising
317,1,1693.88,2,At-Risk Loyalists
472,6,1404.58,3,New/Promising
4,9,10068.28,0,Champions
376,1,949.82,2,At-Risk Loyalists
451,1,168.69000000000003,2,At-Risk Loyalists
239,1,1143.6,2,At-Risk Loyalists
211,2,3246.45,3,New/Promising
486,1,282.3,2,At-Risk Loyalists
60,1,892.47,1,Lost Customers
564,1,124.25,2,At-Risk Loyalists
536,1,98.7,2,At-Risk Loyalists
17,7,1686.12,1,Lost Customers
668,1,55.5,2,At-Risk Loyalists
458,1,519.45,2,At-Risk Loyalists
20,9,1775.68,0,Champions
38,14,6722.2699999999995,0,Champions
599,1,337.4,2,At-Risk Loyalists
64,2,826.74,1,Lost Customers
5,11,4618.24,0,Champions
2,6,2225.91,0,Champions
9,3,1804.75,1,Lost Customers
364,3,1100.4,3,New/Promising
610,1,728.5,2,At-Risk Loyalists
10,4,862.18,1,Lost Customers
463,4,444.9,2,At-Risk Loyalists
65,3,273.35,1,Lost Customers
192,2,591.85,2,At-Risk Loyalists
374,6,1056.1100000000001,3,New/Promising
257,2,827.01,2,At-Risk Loyalists
335,3,1017.33,3,New/Promising
53,2,860.41,1,Lost Customers
19,1,430.48,1,Lost Customers
628,1,381.0,2,At-Risk Loyalists
366,2,806.11,2,At-Risk Loyalists
10,4,8510.93,0,Champions
529,1,219.35,2,At-Risk Loyalists
470,3,584.25,2,At-Risk Loyalists
501,1,1071.82,2,At-Risk Loyalists
187,7,2416.42,3,New/Promising
393,1,1092.81,2,At-Risk Loyalists
466,2,327.02,2,At-Risk Loyalists
382,4,1434.95,3,New/Promising
435,4,2878.96,3,New/Promising
383,1,330.35,2,At-Risk Loyalists
37,5,906.1,1,Lost Customers
178,3,1755.94,3,New/Promising
535,2,534.99,2,At-Risk Loyalists
261,5,1033.9,3,New/Promising
45,1,229.64000000000001,1,Lost Customers
502,3,1687.8,3,New/Promising
102,1,125.92,2,At-Risk Loyalists
148,2,1063.46,3,New/Promising
96,2,572.2,1,Lost Customers
281,3,690.98,3,New/Promising
262,1,1542.08,2,At-Risk Loyalists
458,1,540.52,2,At-Risk Loyalists
3,11,2689.52,0,Champions
214,2,220.8,2,At-Risk Loyalists
71,2,948.88,1,Lost Customers
75,18,6501.5,0,Champions
60,1,397.12,1,Lost Customers
521,2,518.63,2,At-Risk Loyalists
3,12,2955.75,0,Champions
6,3,430.15000000000003,1,Lost Customers
3,6,1018.71,1,Lost Customers
337,3,385.3,2,At-Risk Loyalists
38,6,6814.64,0,Champions
262,3,451.11,2,At-Risk Loyalists
32,2,383.03,1,Lost Customers
145,1,417.38,2,At-Risk Loyalists
283,1,312.38,2,At-Risk Loyalists
428,41,6043.31,0,Champions
59,15,6585.62,0,Champions
173,2,688.41,2,At-Risk Loyalists
34,10,3398.48,0,Champions
3,26,10071.73,0,Champions
144,7,4041.97,3,New/Promising
5,40,7540.68,0,Champions
70,4,1917.99,3,New/Promising
66,30,6588.41,0,Champions
29,4,648.6,1,Lost Customers
267,4,354.09,2,At-Risk Loyalists
682,1,15.58,2,At-Risk Loyalists
22,2,1636.8999999999999,1,Lost Customers
676,1,208.0,2,At-Risk Loyalists
31,6,3090.56,3,New/Promising
446,1,330.0,2,At-Risk Loyalists
97,2,284.13,2,At-Risk Loyalists
295,1,311.55,2,At-Risk Loyalists
135,11,3907.5,3,New/Promising
79,7,2994.02,3,New/Promising
373,4,650.9399999999999,3,New/Promising
8,6,2179.93,1,Lost Customers
211,6,3688.0,3,New/Promising
383,1,177.92,2,At-Risk Loyalists
459,1,575.1,2,At-Risk Loyalists
693,1,55.47,2,At-Risk Loyalists
620,1,68.25,2,At-Risk Loyalists
426,2,1008.3199999999999,2,At-Risk Loyalists
52,6,2792.5499999999997,3,New/Promising
138,2,299.57,2,At-Risk Loyalists
26,4,3323.47,1,Lost Customers
283,3,1227.35,3,New/Promising
26,13,7913.29,0,Champions
186,8,2247.06,3,New/Promising
682,1,337.66999999999996,2,At-Risk Loyalists
375,3,1676.95,3,New/Promising
84,3,744.02,3,New/Promising
327,12,3685.4900000000002,3,New/Promising
282,3,2027.3,3,New/Promising
385,2,948.42,2,At-Risk Loyalists
143,5,1356.99,3,New/Promising
58,4,4081.79,3,New/Promising
4,20,2955.17,0,Champions
236,2,854.99,2,At-Risk Loyalists
45,3,573.22,1,Lost Customers
382,2,640.13,2,At-Risk Loyalists
276,1,298.0,2,At-Risk Loyalists
9,2,1463.04,1,Lost Customers
25,4,703.47,1,Lost Customers
88,1,309.05,2,At-Risk Loyalists
63,3,1175.22,3,New/Promising
68,2,1378.4,1,Lost Customers
384,1,222.4,2,At-Risk Loyalists
214,2,354.12,2,At-Risk Loyalists
381,4,385.46000000000004,2,At-Risk Loyalists
24,2,717.27,1,Lost Customers
186,11,840.5,3,New/Promising
397,1,263.38,2,At-Risk Loyalists
31,1,188.14,1,Lost Customers
575,1,157.35,2,At-Risk Loyalists
42,2,372.8,1,Lost Customers
205,4,514.25,3,New/Promising
464,2,310.96000000000004,2,At-Risk Loyalists
414,1,366.4,2,At-Risk Loyalists
422,1,340.33,2,At-Risk Loyalists
9,28,17654.54,0,Champions
265,1,138.68,2,At-Risk Loyalists
429,1,833.53,2,At-Risk Loyalists
18,2,509.58,1,Lost Customers
577,2,1018.42,2,At-Risk Loyalists
12,5,2919.81,1,Lost Customers
396,2,508.91,2,At-Risk Loyalists
176,5,1776.0,3,New/Promising
40,8,3103.19,0,Champions
23,13,5796.52,0,Champions
552,1,1680.47,2,At-Risk Loyalists
3,5,1662.3,1,Lost Customers
5,13,6700.860000000001,0,Champions
401,1,223.98,2,At-Risk Loyalists
149,4,1174.75,3,New/Promising
139,7,4654.0199999999995,3,New/Promising
128,6,4359.2,3,New/Promising
626,1,10953.5,3,New/Promising
8,6,1335.19,1,Lost Customers
17,4,488.09000000000003,1,Lost Customers
9,74,35921.04,0,Champions
161,1,405.38,2,At-Risk Loyalists
64,3,789.87,1,Lost Customers
88,12,2469.4,3,New/Promising
5,3,729.3299999999999,1,Lost Customers
411,4,1548.46,3,New/Promising
395,1,197.31,2,At-Risk Loyalists
35,12,4304.89,0,Champions
312,1,117.85,2,At-Risk Loyalists
78,2,415.8,1,Lost Customers
22,57,92347.34,0,Champions
539,8,1698.56,3,New/Promising
24,8,1687.03,0,Champions
737,1,181.65,2,At-Risk Loyalists
2,15,4243.86,0,Champions
17,4,1063.9,1,Lost Customers
15,9,3097.61,0,Champions
26,1,114.14,1,Lost Customers
64,20,25264.8,0,Champions
55,2,913.54,1,Lost Customers
724,1,377.49,2,At-Risk Loyalists
131,3,942.65,3,New/Promising
558,2,496.5,2,At-Risk Loyalists
36,2,604.51,1,Lost Customers
288,2,900.11,2,At-Risk Loyalists
437,1,324.45,2,At-Risk Loyalists
144,6,1908.03,3,New/Promising
16,9,2317.43,0,Champions
31,22,15526.7,0,Champions
2,3,1843.0,1,Lost Customers
9,15,3213.7200000000003,0,Champions
6,4,1387.79,1,Lost Customers
10,2,828.8100000000001,1,Lost Customers
639,1,162.45,2,At-Risk Loyalists
1,11,4757.16,0,Champions
306,4,521.89,3,New/Promising
10,13,8706.97,0,Champions
400,2,539.49,2,At-Risk Loyalists
484,1,150.95,2,At-Risk Loyalists
414,4,1322.07,3,New/Promising
379,1,211.99,2,At-Risk Loyalists
7,2,266.39,1,Lost Customers
8,12,3601.59,0,Champions
437,1,132.24,2,At-Risk Loyalists
89,1,771.91,2,At-Risk Loyalists
10,1,160.18,1,Lost Customers
358,3,4306.92,3,New/Promising
112,1,135.95,2,At-Risk Loyalists
603,1,122.45,2,At-Risk Loyalists
7,10,1524.97,0,Champions
4,116,15972.79,0,Champions
414,4,1161.2,3,New/Promising
414,1,385.55,2,At-Risk Loyalists
198,2,408.95,2,At-Risk Loyalists
437,6,2100.09,3,New/Promising
212,8,3156.38,3,New/Promising
156,4,517.63,3,New/Promising
385,5,2502.82,3,New/Promising
729,1,517.7,2,At-Risk Loyalists
158,21,16245.78,0,Champions
30,2,372.21999999999997,1,Lost Customers
243,8,2744.81,3,New/Promising
598,1,490.08000000000004,2,At-Risk Loyalists
19,1,97.5,1,Lost Customers
1,2,1239.38,1,Lost Customers
429,10,2729.84,3,New/Promising
74,5,1312.21,3,New/Promising
292,1,535.32,2,At-Risk Loyalists
3,33,13551.75,0,Champions
31,7,955.5,1,Lost Customers
23,3,764.82,1,Lost Customers
725,1,93.35000000000001,2,At-Risk Loyalists
23,8,1259.6299999999999,1,Lost Customers
4,3,974.4200000000001,1,Lost Customers
85,1,211.32,2,At-Risk Loyalists
376,1,355.5,2,At-Risk Loyalists
22,8,2110.91,0,Champions
493,3,920.08,3,New/Promising
196,3,455.88,2,At-Risk Loyalists
107,4,1032.5,3,New/Promising
4,33,24172.100000000002,0,Champions
318,3,414.13,2,At-Risk Loyalists
106,3,149.05,2,At-Risk Loyalists
12,36,11650.85,0,Champions
174,4,999.68,3,New/Promising
56,1,81.57,2,At-Risk Loyalists
580,1,175.25,2,At-Risk Loyalists
323,3,612.13,2,At-Risk Loyalists
673,1,234.0,2,At-Risk Loyalists
374,2,330.12,2,At-Risk Loyalists
372,1,101.10000000000001,2,At-Risk Loyalists
9,11,2972.83,0,Champions
1,29,12625.77,0,Champions
11,11,5381.08,0,Champions
53,11,6586.42,0,Champions
73,3,789.89,1,Lost Customers
7,1,204.0,1,Lost Customers
16,35,9763.16,0,Champions
379,6,1229.95,3,New/Promising
563,2,618.96,2,At-Risk Loyalists
4,17,4887.24,0,Champions
430,1,65.3,2,At-Risk Loyalists
64,3,1449.03,3,New/Promising
471,2,555.87,2,At-Risk Loyalists
732,1,323.39,2,At-Risk Loyalists
1,9,1733.08,0,Champions
114,19,17335.2,0,Champions
23,2,661.3199999999999,1,Lost Customers
31,5,1927.3,1,Lost Customers
11,2,1227.22,1,Lost Customers
407,5,3419.27,3,New/Promising
52,9,2843.55,3,New/Promising
357,2,220.55,2,At-Risk Loyalists
55,3,922.68,1,Lost Customers
74,3,1364.2,3,New/Promising
685,1,307.1,2,At-Risk Loyalists
138,12,3914.9500000000003,3,New/Promising
80,3,908.46,3,New/Promising
584,4,1010.73,3,New/Promising
9,2,676.99,1,Lost Customers
451,4,799.13,3,New/Promising
598,3,1556.54,3,New/Promising
273,1,516.42,2,At-Risk Loyalists
291,11,4853.9,3,New/Promising
99,3,808.92,3,New/Promising
31,3,949.25,1,Lost Customers
32,24,8795.16,0,Champions
14,9,4084.21,0,Champions
64,4,1408.24,3,New/Promising
15,35,12344.53,0,Champions
579,2,155.8,2,At-Risk Loyalists
212,7,3168.53,3,New/Promising
622,1,127.65,2,At-Risk Loyalists
78,4,2321.11,3,New/Promising
551,1,209.48,2,At-Risk Loyalists
530,3,722.09,2,At-Risk Loyalists
25,3,271.40000000000003,1,Lost Customers
250,10,2303.17,3,New/Promising
254,1,307.53,2,At-Risk Loyalists
72,1,248.61,2,At-Risk Loyalists
191,1,346.98,2,At-Risk Loyalists
481,1,188.4,2,At-Risk Loyalists
13,6,1680.74,1,Lost Customers
373,5,1260.91,3,New/Promising
24,2,470.8,1,Lost Customers
82,3,508.51,1,Lost Customers
10,2,344.0,1,Lost Customers
1,38,9683.13,0,Champions
192,4,751.7,3,New/Promising
612,1,129.22,2,At-Risk Loyalists
267,1,177.15,2,At-Risk Loyalists
411,2,418.08,2,At-Risk Loyalists
511,4,1378.74,3,New/Promising
130,1,919.61,2,At-Risk Loyalists
458,1,135.4,2,At-Risk Loyalists
1,11,3064.67,0,Champions
3,57,29532.45,0,Champions
4,6,419.18,1,Lost Customers
179,4,280.73,2,At-Risk Loyalists
12,28,59205.15,0,Champions
126,21,7335.75,0,Champions
4,3,395.43,1,Lost Customers
492,1,122.39999999999999,2,At-Risk Loyalists
158,8,2433.28,3,New/Promising
383,1,439.33000000000004,2,At-Risk Loyalists
726,1,313.64,2,At-Risk Loyalists
417,1,236.11,2,At-Risk Loyalists
3,203,116737.86,0,Champions
9,24,14103.09,0,Champions
28,3,2321.82,1,Lost Customers
71,12,2140.28,3,New/Promising
276,55,54943.65,0,Champions
21,13,2433.1200000000003,0,Champions
71,1,74.39999999999999,2,At-Risk Loyalists
394,1,419.70000000000005,2,At-Risk Loyalists
33,28,13389.22,0,Champions
1,28,28882.44,0,Champions
99,1,207.35999999999999,2,At-Risk Loyalists
234,4,695.4,3,New/Promising
1,37,11696.92,0,Champions
40,3,709.64,1,Lost Customers
3,9,1709.1,0,Champions
436,1,72.0,2,At-Risk Loyalists
133,2,603.46,2,At-Risk Loyalists
44,9,5253.07,0,Champions
373,2,1098.52,3,New/Promising
60,3,1134.03,1,Lost Customers
31,12,2957.4700000000003,0,Champions
719,1,321.88000000000005,2,At-Risk Loyalists
541,1,20.6,2,At-Risk Loyalists
1,37,18625.73,0,Champions
